backend,run,context_length,prefill_latency_ms,peak_memory_gb
eager,1,4096,597.6233999244869,4.597286224365234
eager,2,4096,597.5981999654323,4.597286224365234
eager,3,4096,597.5385000929236,4.597286224365234
eager,4,4096,597.6790999993682,4.597286224365234
eager,5,4096,597.6260001771152,4.597286224365234
sdpa,1,4096,925.9333000518382,4.89457368850708
sdpa,2,4096,926.7663001082838,4.89457368850708
sdpa,3,4096,927.590399980545,4.89457368850708
sdpa,4,4096,926.8479000311345,4.89457368850708
sdpa,5,4096,928.0282000545412,4.89457368850708
