-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                            prefill_128         0.00%       0.000us         0.00%       0.000us       0.000us      66.319ms       452.52%      66.319ms      66.319ms           0 B           0 B           0 B           0 B             1                                                                                []  
                                               aten::mm         1.47%       1.044ms         2.52%       1.794ms      32.032us       5.040ms        34.39%       5.040ms      90.000us           0 B           0 B     122.50 MB     122.50 MB            56                                                       [[128, 1536], [1536, 8960]]  
ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       5.040ms        34.39%       5.040ms      90.000us           0 B           0 B           0 B           0 B            56                                                                                []  
                                               aten::mm         0.81%     577.700us         1.48%       1.055ms      37.693us       2.502ms        17.07%       2.502ms      89.371us           0 B           0 B      10.50 MB      10.50 MB            28                                                       [[128, 8960], [8960, 1536]]  
_ZN7cutlass7Kernel2I56cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us       2.391ms        16.32%       2.391ms      85.410us           0 B           0 B           0 B           0 B            28                                                                                []  
                                               aten::mm         0.06%      42.000us         0.35%     247.100us     247.100us       1.162ms         7.93%       1.162ms       1.162ms           0 B           0 B      38.00 MB      38.00 MB             1                                                     [[128, 1536], [1536, 151936]]  
_ZN7cutlass7Kernel2I66cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       1.162ms         7.93%       1.162ms       1.162ms           0 B           0 B           0 B           0 B             1                                                                                []  
                                              aten::bmm         1.36%     969.900us         2.39%       1.699ms      30.341us     803.634us         5.48%     803.634us      14.351us           0 B           0 B      42.00 MB      42.00 MB            56                                                  [[12, 128, 128], [12, 128, 128]]  
                                            aten::addmm         1.14%     808.100us         1.73%       1.231ms      43.964us     692.975us         4.73%     692.975us      24.749us           0 B           0 B      10.50 MB      10.50 MB            28                                       [[1536], [128, 1536], [1536, 1536], [], []]  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us     692.975us         4.73%     692.975us      24.749us           0 B           0 B           0 B           0 B            28                                                                                []  
                                               aten::mm         0.75%     535.800us         1.44%       1.025ms      36.600us     677.778us         4.62%     677.778us      24.206us           0 B           0 B      10.50 MB      10.50 MB            28                                                       [[128, 1536], [1536, 1536]]  
ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     677.778us         4.62%     677.778us      24.206us           0 B           0 B           0 B           0 B            28                                                                                []  
_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us     413.931us         2.82%     413.931us       2.449us           0 B           0 B           0 B           0 B           169                                                                                []  
                                            aten::addmm         1.81%       1.285ms         3.56%       2.532ms      45.207us     407.883us         2.78%     407.883us       7.284us           0 B           0 B       3.50 MB       3.50 MB            56                                         [[256], [128, 1536], [1536, 256], [], []]  
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     407.564us         2.78%     407.564us      14.556us           0 B           0 B           0 B           0 B            28                                                                                []  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     396.070us         2.70%     396.070us      14.145us           0 B           0 B           0 B           0 B            28                                                                                []  
                                              aten::cat         1.22%     867.800us         2.78%       1.976ms      17.486us     362.732us         2.48%     362.732us       3.210us           0 B           0 B      15.81 MB      15.81 MB           113                                                                          [[], []]  
_ZN2at6native40_GLOBAL__N__0b46c3ea_8_Shape_cu_85d9f...         0.00%       0.000us         0.00%       0.000us       0.000us     360.012us         2.46%     360.012us       3.214us           0 B           0 B           0 B           0 B           112                                                                                []  
_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_23...         0.00%       0.000us         0.00%       0.000us       0.000us     324.039us         2.21%     324.039us       2.282us           0 B           0 B           0 B           0 B           142                                                                                []  
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     302.889us         2.07%     302.889us       5.409us           0 B           0 B           0 B           0 B            56                                                                                []  
                                            aten::copy_         0.76%     544.300us         2.42%       1.721ms      15.096us     237.029us         1.62%     237.029us       2.079us           0 B           0 B           0 B           0 B           114                                              [[1, 128, 1536], [1, 128, 1536], []]  
                                             aten::mean         0.70%     500.400us         1.36%     966.800us      16.961us     226.660us         1.55%     226.660us       3.976us           0 B           0 B      28.50 KB      28.50 KB            57                                                      [[1, 128, 1536], [], [], []]  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us     226.660us         1.55%     226.660us       3.976us           0 B           0 B           0 B           0 B            57                                                                                []  
_ZN2at6native29vectorized_elementwise_kernelILi4EZNS...         0.00%       0.000us         0.00%       0.000us       0.000us     187.394us         1.28%     187.394us       1.630us           0 B           0 B           0 B           0 B           115                                                                                []  
                                            aten::copy_         0.53%     379.700us         1.65%       1.176ms      14.006us     163.490us         1.12%     163.490us       1.946us           0 B           0 B           0 B           0 B            84                                        [[1, 12, 128, 128], [1, 12, 128, 128], []]  
                                              aten::mul         0.61%     436.100us         1.29%     920.700us      16.153us     162.823us         1.11%     162.823us       2.857us           0 B           0 B      21.38 MB      21.38 MB            57                                                          [[1536], [1, 128, 1536]]  
                                              aten::mul         0.78%     553.600us         1.56%       1.109ms      19.800us     146.495us         1.00%     146.495us       2.616us           0 B           0 B      21.00 MB      21.00 MB            56                                             [[1, 12, 128, 128], [1, 1, 128, 128]]  
                                            aten::copy_         0.38%     269.600us         1.21%     860.400us      15.364us     144.959us         0.99%     144.959us       2.589us           0 B           0 B           0 B           0 B            56                                    [[1, 2, 6, 128, 128], [1, 2, 6, 128, 128], []]  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us     144.959us         0.99%     144.959us       2.589us           0 B           0 B           0 B           0 B            56                                                                                []  
                                              aten::mul         0.68%     481.100us         1.38%     981.500us      17.219us     144.743us         0.99%     144.743us       2.539us           0 B           0 B      42.75 MB      42.75 MB            57                                                     [[1, 128, 1536], [1, 128, 1]]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 71.174ms
Self CUDA time total: 14.656ms
